theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
0.0,100.0,1.5113444010831098e-10,2.5469982332507897,1.0036021908409296,11.32,-2.74
0.0,104.5226243,1.4104012291025598e-10,2.518571023453297,1.0064459074552867,11.32,-2.74
0.0,114.8355997,1.30331356419815e-10,2.5071098899284343,1.0266187745207365,11.32,-2.74
0.0,126.1661294,1.13457762622662e-10,2.512846991000005,1.030259280698324,11.32,-2.74
0.0,138.6146131,9.4343568099501e-11,2.512846991000005,1.0295081706297322,11.32,-2.74
0.0,152.2913563,7.683025408751001e-11,2.4955961212053817,1.0228447357206363,11.32,-2.74
0.0,167.3175481,6.175676268479e-11,2.495596121205381,1.0341879994781813,11.32,-2.74
0.0,183.8263352,4.850710790154e-11,2.495596121205381,1.0435935293720033,11.32,-2.74
0.0,201.9640013,3.731784779249e-11,2.4782251714024923,1.0429937290095959,11.32,-2.74
0.0,221.8912637,2.882105925443e-11,2.466576574966058,1.0464569852068346,11.32,-2.74
0.0,243.7846973,2.135503781955e-11,2.466576574966058,1.032909355867716,11.32,-2.74
0.0,267.8382989,1.566677560475e-11,2.4607315985638256,1.0413794488177925,11.32,-2.74
0.0,294.2652069,1.1139402791659999e-11,2.454907515048691,1.05519412275782,11.32,-2.74
0.0,323.2995891,7.882001525869999e-12,2.466576574966058,1.0505181489770459,11.32,-2.74
0.0,355.1987182,5.59606110272e-12,2.4312959507568026,1.012098624930676,11.32,-2.74
0.0,390.2452514,3.9720523350299995e-12,2.443112768614672,1.0358499374454544,11.32,-2.74
0.0,428.7497349,2.7686360236800002e-12,2.4491096322854995,1.0284295606419076,11.32,-2.74
0.0,471.0533555,1.9214875656399997e-12,2.4312959507568026,1.0183861676575234,11.32,-2.74
0.0,517.5309642,1.33956191467e-12,2.401499531576546,1.0028831355378438,11.32,-2.74
0.0,568.5943977,9.312937539400001e-13,2.443112768614672,1.0154647094530596,11.32,-2.74
0.0,624.6961273,6.4555890784e-13,2.4134622433682265,0.9965621596604854,11.32,-2.74
0.0,686.3332685,4.3923278671e-13,2.401499531576546,1.0047592248616135,11.32,-2.74
0.0,754.0519861,3.01933799755e-13,2.401499531576546,0.9933777370397432,11.32,-2.74
0.0,828.4523333,2.0778999695e-13,2.3954957733549778,0.9693859480727192,11.32,-2.74
0.0,910.1935691,1.42002729238e-13,2.401499531576546,0.9919726962316442,11.32,-2.74
0.0,1000.0,8.592205511099999e-14,2.3894769302424224,0.9635318811231997,11.32,-2.74
18.67,0.09,6.4466429084170395e-12,9.68620248039904,0.20000000544425142,11.32,-2.74
18.67,0.09888006579,2.7748459723856662e-11,9.379569621745969,0.20000000000020654,11.32,-2.74
18.67,0.1086363046,3.67088355072609e-11,8.943801740015651,0.20000000248504304,11.32,-2.74
18.67,0.119355166,3.21836603590199e-11,8.825188413227126,0.20000000244364258,11.32,-2.74
18.67,0.1311316297,3.8518711298114e-11,8.744869954946076,0.20000000002607796,11.32,-2.74
18.67,0.1440700463,3.436313626342e-11,8.705449589615595,0.20000000120619738,11.32,-2.74
18.67,0.1582850629,2.9566758061156e-11,8.615316692097688,0.20000000825894218,11.32,-2.74
18.67,0.1739026381,3.0013594866065e-11,8.51662762784258,0.20000000000066204,11.32,-2.74
18.67,0.1910611589,2.5191998957931e-11,8.703452286603289,0.20000000075377622,11.32,-2.74
18.67,0.2099126662,2.2681498104637e-11,8.822214199759593,0.2000001742800144,11.32,-2.74
18.67,0.2306242028,1.9368304326523e-11,8.744869954946076,0.20000000000166657,11.32,-2.74
18.67,0.2533792927,1.8004342752328e-11,8.656185093800687,0.20000029357286983,11.32,-2.74
