wvl,flux,r,n
60.59627021,3.0596628404663803e-12,2.100856968030966,0.9975251487064574
65.09161568,3.55586710374318e-12,2.107700168459706,1.016021554722952
69.92044919,4.06601322115674e-12,2.1213203435895047,1.0249097958416746
75.1075106,4.53299144503082e-12,2.1213203435895047,1.0244208098347458
80.67937511,4.87782701195885e-12,2.1213203435895047,1.0335365460235346
86.66458942,5.1948111591703105e-12,2.1415881957391174,1.0182117137241253
93.09381796,5.3558988730938204e-12,2.168317319981642,1.053990109862949
100.0,5.43251353043389e-12,2.17494827527764,1.0321340222786495
104.5226243,5.30814050133787e-12,2.2012723593722847,1.0291243570396302
114.8355997,5.2110160254422e-12,2.2078043391879714,1.033565684066713
126.1661294,4.7870339655542e-12,2.2401785643428713,1.0522118000952094
138.6146131,4.2118720907404e-12,2.2401785643428718,1.026119404900135
