,x0,x1,y0,y1,mean_y0,mean_y1,std_y0,std_y1
51,-1.3099986,-1.3543264,-0.68000764,0.3518159,-0.74716115,0.49408442,0.30831483,0.23479867
52,-1.3068486,-1.3121225,-0.81447387,-0.047864143,-0.6865863,0.428643,0.2940146,0.22511609
53,-1.2999628,-1.3098398,-0.7579405,-0.117138416,-0.67533106,0.41478375,0.29122028,0.2228246
54,-1.2897457,-1.2896316,-0.82957226,0.46605843,-0.6382527,0.37278393,0.28215933,0.21638452
55,-1.2824388,-1.2886577,-0.913786,-0.13154931,-0.6284379,0.36024994,0.27975982,0.21432614
56,-1.2777654,-1.2779298,-0.6571358,0.15796347,-0.61025864,0.33981952,0.27526203,0.2112282
57,-1.2681283,-1.2719219,-0.9135898,0.14740868,-0.5922041,0.31804162,0.27080104,0.20771082
58,-1.251122,-1.2686905,-0.7261264,0.0208017,-0.5697868,0.28954333,0.2652829,0.202963
59,-1.2333055,-1.2529583,-0.36922234,-0.08946256,-0.53317606,0.24600048,0.2560323,0.19615893
60,-1.2308751,-1.238897,-0.5731739,-0.18825546,-0.51527184,0.22625509,0.251356,0.19342713
61,-1.2019539,-1.2321929,-0.53801954,0.17609213,-0.4798794,0.18080635,0.24200878,0.18607596
62,-1.1889597,-1.2182335,-0.73064905,-0.050071444,-0.4533638,0.14871079,0.23475687,0.18118833
63,-1.1835725,-1.2137448,-0.7609396,-0.4618272,-0.44398138,0.13716778,0.23212446,0.17937505
64,-1.1823847,-1.2039039,-0.75699943,-0.54167116,-0.43303937,0.12481528,0.22899023,0.17760955
65,-1.1737487,-1.1621925,-0.6329772,-0.37410927,-0.38715813,0.07300643,0.21553765,0.16986644
66,-1.1722808,-1.161625,-0.44811368,-0.23054689,-0.38538703,0.07064908,0.21501933,0.16948445
67,-1.1710701,-1.1564633,-0.46646613,-0.3221849,-0.3799901,0.06457385,0.2134173,0.16858205
68,-1.1601444,-1.1513568,-0.44249222,-0.45293337,-0.3663545,0.046573814,0.20945066,0.16570917
69,-1.1454278,-1.1359185,-0.50630677,-0.5035263,-0.3419655,0.015822273,0.20226654,0.1611538
70,-1.1228542,-1.1357447,-0.2704858,-0.17407149,-0.32504347,-0.009272278,0.19726767,0.15702759
71,-1.1116368,-1.0989215,-0.45687348,-0.05132781,-0.29026464,-0.051348817,0.18657413,0.1517628
72,-1.0916936,-1.0762001,-0.40425748,-0.5983022,-0.2625291,-0.08893969,0.17770675,0.14700185
73,-1.0850816,-1.0670981,-0.5743324,-0.6028424,-0.25293395,-0.10203983,0.17454076,0.14554393
74,-1.0764637,-1.0242118,-0.4556267,-0.33463627,-0.22437342,-0.13796811,0.1648017,0.14302813
75,-1.0737619,-1.0152795,-0.30655763,-0.671708,-0.21844803,-0.14574158,0.16274892,0.14250463
76,-1.0692799,-1.0057317,-0.2716828,-0.66042036,-0.21136962,-0.15543966,0.16030587,0.14182706
77,-1.0635645,-0.9816631,-0.49396032,-0.3872246,-0.19792952,-0.17297095,0.15564056,0.14134067
78,-1.0428923,-0.9815756,-0.43412146,-0.3682232,-0.18692851,-0.19404663,0.15165095,0.13881734
79,-1.0397394,-0.9746781,-0.18991573,-0.17530811,-0.18260632,-0.200384,0.15010022,0.1387143
